artist_id,confidence_score,http_status,label,last_checked_at,link_id,link_type,record_company_id,redirect_url,source_url,url,validation_status
rca_aefa3291,0.99,200,Artists,2026-07-25T03:56:46.039Z,rcl_661e5b57,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/sideshowannie,https://www.lanewaymusic.com.au/,verified
rca_afdd6efa,0.99,200,About,2026-07-25T03:57:12.102Z,rcl_ea512b02,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/southboundsnakecharmers,https://www.lanewaymusic.com.au/about,verified
rca_afdd6efa,0.99,200,Artists,2026-07-25T03:57:12.230Z,rcl_c01d942a,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/southboundsnakecharmers,https://www.lanewaymusic.com.au/,verified
rca_b30b5e42,0.99,200,About,2026-07-25T04:04:50.050Z,rcl_c992b82c,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/the31st,https://www.lanewaymusic.com.au/about,verified
rca_b30b5e42,0.99,200,Artists,2026-07-25T04:04:50.180Z,rcl_a3382714,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/the31st,https://www.lanewaymusic.com.au/,verified
rca_b3746ae3,0.99,200,About,2026-07-25T03:37:02.591Z,rcl_51981ab0,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/degenerates,https://www.lanewaymusic.com.au/about,verified
rca_b3746ae3,0.99,200,Artists,2026-07-25T03:37:02.727Z,rcl_803eb370,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/degenerates,https://www.lanewaymusic.com.au/,verified
rca_b6b4b492,0.99,200,About,2026-07-25T03:46:03.792Z,rcl_af3c6a42,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/les-karski,https://www.lanewaymusic.com.au/about,verified
rca_b6b4b492,0.99,200,Artists,2026-07-25T03:46:03.935Z,rcl_9807776a,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/les-karski,https://www.lanewaymusic.com.au/,verified
rca_c151fb41,0.99,200,About,2026-07-25T03:48:13.750Z,rcl_5ba81304,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/madder-lake,https://www.lanewaymusic.com.au/about,verified
rca_c151fb41,0.99,200,Artists,2026-07-25T03:48:13.893Z,rcl_40bec74c,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/madder-lake,https://www.lanewaymusic.com.au/,verified
rca_c3961da1,0.99,200,About,2026-07-25T03:42:03.303Z,rcl_a3a9f937,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/jeff-st-john,https://www.lanewaymusic.com.au/about,verified
rca_c3961da1,0.99,200,Artists,2026-07-25T03:42:03.429Z,rcl_fd3e875d,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/jeff-st-john,https://www.lanewaymusic.com.au/,verified
rca_d57ce9c9,0.99,200,About,2026-07-25T04:06:06.186Z,rcl_c7766b96,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/therockwells,https://www.lanewaymusic.com.au/about,verified
rca_d57ce9c9,0.99,200,Artists,2026-07-25T04:06:06.328Z,rcl_3e1b03c6,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/therockwells,https://www.lanewaymusic.com.au/,verified
rca_e8248e08,0.99,200,About,2026-07-25T03:55:52.515Z,rcl_ea491571,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/sevenstories,https://www.lanewaymusic.com.au/about,verified
rca_e8248e08,0.99,200,Artists,2026-07-25T03:55:52.640Z,rcl_f02ea33f,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/sevenstories,https://www.lanewaymusic.com.au/,verified
rca_effd9d86,0.99,200,About,2026-07-25T03:30:15.946Z,rcl_cc3ba313,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/billyt,https://www.lanewaymusic.com.au/about,verified
rca_effd9d86,0.99,200,Artists,2026-07-25T03:30:16.092Z,rcl_f706e8e1,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/billyt,https://www.lanewaymusic.com.au/,verified
rca_f0860652,0.99,200,About,2026-07-25T03:29:01.319Z,rcl_5ef1e8ac,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/argus,https://www.lanewaymusic.com.au/about,verified
rca_f0860652,0.99,200,Artists,2026-07-25T03:29:01.489Z,rcl_df86e894,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/argus,https://www.lanewaymusic.com.au/,verified
rca_f3bd4eba,0.99,200,About,2026-07-25T03:32:17.542Z,rcl_ab93e01e,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/charliemarshall-bodyelectric,https://www.lanewaymusic.com.au/about,verified
rca_f3bd4eba,0.99,200,Artists,2026-07-25T03:32:17.687Z,rcl_81f03cce,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/charliemarshall-bodyelectric,https://www.lanewaymusic.com.au/,verified
rca_f956beb0,0.99,200,About,2026-07-25T03:47:55.132Z,rcl_eb62fbe4,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/lovechild,https://www.lanewaymusic.com.au/about,verified
rca_f956beb0,0.99,200,Artists,2026-07-25T03:47:55.272Z,rcl_d46a9eac,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/lovechild,https://www.lanewaymusic.com.au/,verified
rca_f9a1726f,0.99,200,About,2026-07-25T03:54:37.401Z,rcl_2056dbd3,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/pray-tv,https://www.lanewaymusic.com.au/about,verified
rca_f9a1726f,0.99,200,Artists,2026-07-25T03:54:37.537Z,rcl_03f2aca1,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/pray-tv,https://www.lanewaymusic.com.au/,verified
rca_fa034418,0.99,200,About,2026-07-25T03:46:26.653Z,rcl_6da4eee4,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/lime-spiders,https://www.lanewaymusic.com.au/about,verified
rca_fa034418,0.99,200,Artists,2026-07-25T03:46:26.780Z,rcl_254597ac,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/lime-spiders,https://www.lanewaymusic.com.au/,verified
